t,phi_model_real,phi_model_imag,phi_model_abs
31.3,-2.2009103185587833e-06,1.0351883503744033e-06,2.432204997751917e-06
31.31,-2.1843311123029496e-06,9.378146915767556e-07,2.377140888528033e-06
31.32,-2.1649183011247417e-06,8.429834613085322e-07,2.323250388267384e-06
31.33,-2.14284275059522e-06,7.507168421148465e-07,2.270539766402116e-06
31.34,-2.118270690087914e-06,6.610327971634001e-07,2.219016691106941e-06
31.35,-2.091363584100252e-06,5.739452866973366e-07,2.168689658070684e-06
31.36,-2.062278025535658e-06,4.894644596573691e-07,2.1195674350855018e-06
31.37,-2.0311656519389023e-06,4.0759682329471255e-07,2.0716585326680476e-06
31.38,-1.9981730852174027e-06,3.2834539378775463e-07,2.024970709938509e-06
31.39,-1.9634418948941854e-06,2.5170983096168906e-07,1.9795105237478357e-06
31.4,-1.927108584462644e-06,1.7768656018932914e-07,1.935282927631392e-06
31.41,-1.8893045999581822e-06,1.062688844339714e-07,1.8922909256300912e-06
31.42,-1.8501563594564058e-06,3.744708918957517e-08,1.8505352844314407e-06
31.43,-1.809785301866829e-06,-2.8791457210711175e-08,1.8100143057063183e-06
31.44,-1.7683079531135594e-06,-9.246220577326509e-08,1.7707236589996542e-06
31.45,-1.7258360076098355e-06,-1.535833297363825e-07,1.7326562741454435e-06
31.46,-1.6824764228162967e-06,-2.1217562679085044e-07,1.6958022909339438e-06
31.47,-1.6383315246427217e-06,-2.6826241962140617e-07,1.6601490627107183e-06
31.48,-1.5934991214893718e-06,-3.218694541330048e-07,1.6256812097367915e-06
31.49,-1.5480726248283051e-06,-3.7302479506135575e-07,1.5923807175023706e-06
31.5,-1.502141174371774e-06,-4.2175871896363894e-07,1.5602270747442062e-06
31.51,-1.4557897660764403e-06,-4.6810360483860265e-07,1.5291974456805082e-06
31.52,-1.409099381443712e-06,-5.120938228228237e-07,1.4992668708933528e-06
31.53,-1.3621471168195474e-06,-5.537656215629725e-07,1.4704084913672224e-06
31.54,-1.3150063116361027e-06,-5.931570149600239e-07,1.442593790378661e-06
31.55,-1.2677466747756235e-06,-6.303076690361734e-07,1.415792848212783e-06
31.56,-1.2204344084622728e-06,-6.652587896871113e-07,1.3899746050250768e-06
31.57,-1.173132329295845e-06,-6.980530120549215e-07,1.365107127546422e-06
31.58,-1.1258999862223072e-06,-7.287342922048888e-07,1.3411578757218524e-06
31.59,-1.0787937753978388e-06,-7.57347801709414e-07,1.3180939657669343e-06
31.6,-1.031867052029143e-06,-7.839398256494706e-07,1.2958824264965694e-06
