s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
1.4147326119893089e+01,1.2592083602121793e+00,-2.7878304893370165e-01,2.4077042266280832e-01,3.0831607759468377e-01,-2.0753429694768930e+00,-7.0914970656268048e+00,-7.0729527423478133e+00
1.4161501797367931e+01,1.2586013098657112e+00,-2.6772412758380848e-01,2.3192276288562289e-01,3.0623218925441170e-01,-2.0923750779345274e+00,-7.1209164582117914e+00,-7.1027763685451211e+00
1.4175677474842773e+01,1.2580053292876552e+00,-2.5670397940329287e-01,2.2302610860573274e-01,2.9677060945730771e-01,-2.1829849308408917e+00,-7.1505772924729909e+00,-7.1315826385185828e+00
1.4189853152317617e+01,1.2574217431688366e+00,-2.4572073001872041e-01,2.1408312012663883e-01,2.8388777547854643e-01,-2.3307385382492560e+00,-7.1815225827850337e+00,-7.1641228046744105e+00
1.4204028829792460e+01,1.2568508044690558e+00,-2.3477020484677266e-01,2.0509927556444918e-01,2.8288044769261977e-01,-2.3440606785159961e+00,-7.2145623805814409e+00,-7.1970030631122031e+00
1.4218204507267302e+01,1.2562959551257875e+00,-2.2385609660790798e-01,1.9607022219581793e-01,2.7089847740727097e-01,-2.5046972318949940e+00,-7.2477910287415446e+00,-7.2294368175592973e+00
1.4232380184742144e+01,1.2557571939693506e+00,-2.1297411319126761e-01,1.8700150570345939e-01,2.6090928674078290e-01,-2.6397768607536745e+00,-7.2832968088730201e+00,-7.2670089478752500e+00
1.4246555862216988e+01,1.2552348062072760e+00,-2.0212143794481810e-01,1.7789677704838283e-01,2.5856833944590485e-01,-2.6750563447042972e+00,-7.3207174342566175e+00,-7.3035839878834095e+00
1.4260731539691831e+01,1.2547334778105788e+00,-1.9130236519081129e-01,1.6875096474585588e-01,2.4540004162232701e-01,-2.8993729054572257e+00,-7.3586381702261781e+00,-7.3414468342449775e+00
1.4274907217166673e+01,1.2542510793448489e+00,-1.8051032740348646e-01,1.5957225444966808e-01,2.3881093236313022e-01,-3.0177490158761611e+00,-7.3997387454132371e+00,-7.3848066962997931e+00
1.4289082894641517e+01,1.2537891753322354e+00,-1.6974482802754812e-01,1.5036137989810686e-01,2.3471516610616147e-01,-3.0972364969676396e+00,-7.4425173821623218e+00,-7.4258899391704380e+00
1.4303258572116359e+01,1.2533515498709993e+00,-1.5900762235118954e-01,1.4111635476434109e-01,2.2091627204870307e-01,-3.3855974958196517e+00,-7.4864228078066466e+00,-7.4711041564185487e+00
1.4317434249591201e+01,1.2529356294418239e+00,-1.4829319789883333e-01,1.3184393895299970e-01,2.1776011395475700e-01,-3.4648089401533051e+00,-7.5344159459670212e+00,-7.5206319879288897e+00
