q_m_inv,power
-4.6375008867052104e+16,2.9897439408056853e-09
-4.6349981878996496e+16,4.6388835261130359e-09
-4.6324954890940880e+16,2.4233892744080973e-09
-4.6299927902885264e+16,3.2865628456399202e-09
-4.6274900914829656e+16,1.5259529628220812e-09
-4.6249873926774040e+16,2.0452621638062792e-09
-4.6224846938718424e+16,1.5419091751294702e-09
-4.6199819950662816e+16,1.2557704683021879e-09
-4.6174792962607200e+16,2.7986096612793186e-09
-4.6149765974551592e+16,1.9760996989299341e-09
-4.6124738986495976e+16,4.5307588627457616e-09
-4.6099711998440360e+16,3.6296599007133746e-09
-4.6074685010384752e+16,6.4173183429846111e-09
-4.6049658022329136e+16,5.1878806257182362e-09
-4.6024631034273520e+16,7.1696031904992598e-09
-4.5999604046217904e+16,6.1222240097589483e-09
-4.5974577058162296e+16,6.2606298485381486e-09
-4.5949550070106680e+16,6.0102197001075296e-09
-4.5924523082051064e+16,4.5345105251886820e-09
-4.5899496093995448e+16,4.9195802071066484e-09
-4.5874469105939840e+16,2.8531213788926468e-09
-4.5849442117884224e+16,3.9963144845534121e-09
-4.5824415129828608e+16,2.0753405446024204e-09
-4.5799388141772992e+16,4.0413654230408474e-09
-4.5774361153717384e+16,3.1284199252270960e-09
-4.5749334165661768e+16,4.3045133806520973e-09
-4.5724307177606152e+16,5.5964708751788051e-09
-4.5699280189550544e+16,5.6164498172222502e-09
-4.5674253201494928e+16,7.3768520875172296e-09
-4.5649226213439312e+16,6.3857636698551339e-09
-4.5624199225383696e+16,9.0422366994596660e-09
-4.5599172237328088e+16,5.8365359256308891e-09
-4.5574145249272472e+16,8.4183596024479303e-09
-4.5549118261216856e+16,5.2948801582972579e-09
-4.5524091273161240e+16,6.3752188717791770e-09
-4.5499064285105632e+16,3.9477633151401761e-09
-4.5474037297050016e+16,4.5023019982297225e-09
-4.5449010308994400e+16,3.3197035723705917e-09
-4.5423983320938792e+16,2.8605798742660700e-09
-4.5398956332883176e+16,3.8600919186902914e-09
-4.5373929344827560e+16,2.5815711250997978e-09
-4.5348902356771952e+16,5.3149334222119040e-09
-4.5323875368716336e+16,3.6800953154925476e-09
-4.5298848380660728e+16,6.2317257345019054e-09
-4.5273821392605112e+16,5.2239837521186064e-09
-4.5248794404549496e+16,7.2538906435093717e-09
-4.5223767416493888e+16,5.6245891969070001e-09
-4.5198740428438272e+16,6.5109340053795774e-09
-4.5173713440382656e+16,6.1582976588642025e-09
-4.5148686452327040e+16,4.5460437007306764e-09
-4.5123659464271432e+16,4.8849231846001468e-09
-4.5098632476215816e+16,3.1145341162359747e-09
-4.5073605488160200e+16,3.5275411234317792e-09
